#N My univerce
#S 130 72
#R B3/S23
-23 7
-23 6
-22 7
-22 6
-16 7
-16 6
-16 5
-14 7
-14 5
-13 8
-13 7
-13 6
-13 5
-13 4
-12 9
-12 8
-12 4
-12 3
-11 9
-11 8
-11 4
-11 3
-8 7
-8 6
-7 8
-7 7
-7 5
-7 4
-6 7
-6 4
-5 7
-4 4
-3 6
-3 5
0 11
0 10
0 6
0 5
1 10
1 9
1 8
1 7
1 6
1 0
2 9
2 8
2 7
2 -1
2 -2
3 8
3 0
3 -1
9 -7
9 -9
10 -8
10 -9
11 9
11 8
11 -8
12 9
12 8
16 -15
17 -16
17 -17
18 -15
18 -16
24 -22
24 -24
25 -23
25 -24
26 -23
31 -30
32 -31
32 -32
33 -30
33 -31
39 35
39 33
40 34
40 33
41 34
46 27
47 26
47 25
48 27
48 26
